TestSuiteName,Environment,Regression Type,SupportCompression,OSContextName,ResourceGroup,Location,Template,User credential,VM Name,ImageID,Computer Name,Domain,Role,CPU,MIN RAM (MB),MAX RAM (MB),VMSwitch,SwitchType,IP,Subnet,Gateway,DNS
RDPClient,RDPClient_CompressionDisable_Local_Server2022_Win1124H2,Local,No,,,,RDPClient_CompressionDisable_Local.xml,administrator/Password01!,RDPClient_Server,Windows_Server_2022_Datacenter_generation2.vhd;19041_ServerDataCenter.xml,RDPServer,workgroup,DriverComputer,4,4096,4096,RDPClient_Internal,Internal,192.168.173.1,255.255.255.0,192.168.173.250,
,,,,,,,,,RDPClient_Client,Windows_11_24H2_Enterprise_generation2.vhd;19041_Enterprise.xml,RDPClient,workgroup,SUT,4,4096,4096,RDPClient_Internal,Internal,192.168.173.101,255.255.255.0,,
RDPClient,RDPClient_CompressionDisable_Local_Server2022_Win1022H2,Local,No,,,,RDPClient_CompressionDisable_Local.xml,administrator/Password01!,RDPClient_Server,Windows_Server_2022_Datacenter_generation2.vhd;19041_ServerDataCenter.xml,RDPServer,workgroup,DriverComputer,4,4096,4096,RDPClient_Internal,Internal,192.168.173.1,255.255.255.0,192.168.173.250,
,,,,,,,,,RDPClient_Client,Windows_10_22H2_Enterprise_generation2.vhd;19041_Enterprise.xml,RDPClient,workgroup,SUT,4,4096,4096,RDPClient_Internal,Internal,192.168.173.101,255.255.255.0,,
RDPClient,RDPClient_CompressionDisable_Local_Server2025_Win1124H2,Local,No,,,,RDPClient_CompressionDisable_Local.xml,administrator/Password01!,RDPClient_Server,Windows_Server_2025_Datacenter_generation2.vhd;19041_ServerDataCenter.xml,RDPServer,workgroup,DriverComputer,4,4096,4096,RDPClient_Internal,Internal,192.168.173.1,255.255.255.0,192.168.173.250,
,,,,,,,,,RDPClient_Client,Windows_11_24H2_Enterprise_generation2.vhd;19041_Enterprise.xml,RDPClient,workgroup,SUT,4,4096,4096,RDPClient_Internal,Internal,192.168.173.101,255.255.255.0,,
RDPClient,RDPClient_CompressionDisable_Local_Server2025_Win1022H2,Local,No,,,,RDPClient_CompressionDisable_Local.xml,administrator/Password01!,RDPClient_Server,Windows_Server_2025_Datacenter_generation2.vhd;19041_ServerDataCenter.xml,RDPServer,workgroup,DriverComputer,4,4096,4096,RDPClient_Internal,Internal,192.168.173.1,255.255.255.0,192.168.173.250,
,,,,,,,,,RDPClient_Client,Windows_10_22H2_Enterprise_generation2.vhd;19041_Enterprise.xml,RDPClient,workgroup,SUT,4,4096,4096,RDPClient_Internal,Internal,192.168.173.101,255.255.255.0,,
RDPClient,RDPClient_CompressionEnable_Local_Server2022_Win1124H2,Local,Yes,,,,RDPClient_CompressionEnable_Local.xml,administrator/Password01!,RDPClient_Server,Windows_Server_2022_Datacenter_generation2.vhd;19041_ServerDataCenter.xml,RDPServer,workgroup,DriverComputer,4,4096,4096,RDPClient_Internal,Internal,192.168.173.1,255.255.255.0,192.168.173.250,
,,,,,,,,,RDPClient_Client,Windows_11_24H2_Enterprise_generation2.vhd;19041_Enterprise.xml,RDPClient,workgroup,SUT,4,4096,4096,RDPClient_Internal,Internal,192.168.173.101,255.255.255.0,,
RDPClient,RDPClient_CompressionEnable_Local_Server2022_Win1022H2,Local,Yes,,,,RDPClient_CompressionEnable_Local.xml,administrator/Password01!,RDPClient_Server,Windows_Server_2022_Datacenter_generation2.vhd;19041_ServerDataCenter.xml,RDPServer,workgroup,DriverComputer,4,4096,4096,RDPClient_Internal,Internal,192.168.173.1,255.255.255.0,192.168.173.250,
,,,,,,,,,RDPClient_Client,Windows_10_22H2_Enterprise_generation2.vhd;19041_Enterprise.xml,RDPClient,workgroup,SUT,4,4096,4096,RDPClient_Internal,Internal,192.168.173.101,255.255.255.0,,
RDPClient,RDPClient_CompressionEnable_Local_Server2025_Win1124H2,Local,Yes,,,,RDPClient_CompressionEnable_Local.xml,administrator/Password01!,RDPClient_Server,Windows_Server_2025_Datacenter_generation2.vhd;19041_ServerDataCenter.xml,RDPServer,workgroup,DriverComputer,4,4096,4096,RDPClient_Internal,Internal,192.168.173.1,255.255.255.0,192.168.173.250,
,,,,,,,,,RDPClient_Client,Windows_11_24H2_Enterprise_generation2.vhd;19041_Enterprise.xml,RDPClient,workgroup,SUT,4,4096,4096,RDPClient_Internal,Internal,192.168.173.101,255.255.255.0,,
RDPClient,RDPClient_CompressionEnable_Local_Server2025_Win1022H2,Local,Yes,,,,RDPClient_CompressionEnable_Local.xml,administrator/Password01!,RDPClient_Server,Windows_Server_2025_Datacenter_generation2.vhd;19041_ServerDataCenter.xml,RDPServer,workgroup,DriverComputer,4,4096,4096,RDPClient_Internal,Internal,192.168.173.1,255.255.255.0,192.168.173.250,
,,,,,,,,,RDPClient_Client,Windows_10_22H2_Enterprise_generation2.vhd;19041_Enterprise.xml,RDPClient,workgroup,SUT,4,4096,4096,RDPClient_Internal,Internal,192.168.173.101,255.255.255.0,,
RDPServer,RDPServer_Local_Server2022_Win1124H2,Local,No,,,,RDPServer_Local.xml,administrator/Password01!,RDPServer_Server,Windows_Server_2022_Datacenter_generation2.vhd;19041_ServerDataCenter.xml,Server_SUT01,workgroup,SUT,4,4096,4096,RDPServer_Internal,Internal,192.168.172.1,255.255.255.0,192.168.172.250,
,,,,,,,,,RDPServer_Client,Windows_11_24H2_Enterprise_generation2.vhd;19041_Enterprise.xml,Server_Driver01,workgroup,DriverComputer,4,4096,4096,RDPServer_Internal,Internal,192.168.172.101,255.255.255.0,,
RDPServer,RDPServer_Local_Server2022_Win1022H2,Local,No,,,,RDPServer_Local.xml,administrator/Password01!,RDPServer_Server,Windows_Server_2022_Datacenter_generation2.vhd;19041_ServerDataCenter.xml,Server_SUT01,workgroup,SUT,4,4096,4096,RDPServer_Internal,Internal,192.168.172.1,255.255.255.0,192.168.172.250,
,,,,,,,,,RDPServer_Client,Windows_10_22H2_Enterprise_generation2.vhd;19041_Enterprise.xml,Server_Driver01,workgroup,DriverComputer,4,4096,4096,RDPServer_Internal,Internal,192.168.172.101,255.255.255.0,,
RDPServer,RDPServer_Local_Server2025_Win1124H2,Local,No,,,,RDPServer_Local.xml,administrator/Password01!,RDPServer_Server,Windows_Server_2025_Datacenter_generation2.vhd;19041_ServerDataCenter.xml,Server_SUT01,workgroup,SUT,4,4096,4096,RDPServer_Internal,Internal,192.168.172.1,255.255.255.0,192.168.172.250,
,,,,,,,,,RDPServer_Client,Windows_11_24H2_Enterprise_generation2.vhd;19041_Enterprise.xml,Server_Driver01,workgroup,DriverComputer,4,4096,4096,RDPServer_Internal,Internal,192.168.172.101,255.255.255.0,,
RDPServer,RDPServer_Local_Server2025_Win1022H2,Local,No,,,,RDPServer_Local.xml,administrator/Password01!,RDPServer_Server,Windows_Server_2025_Datacenter_generation2.vhd;19041_ServerDataCenter.xml,Server_SUT01,workgroup,SUT,4,4096,4096,RDPServer_Internal,Internal,192.168.172.1,255.255.255.0,192.168.172.250,
,,,,,,,,,RDPServer_Client,Windows_10_22H2_Enterprise_generation2.vhd;19041_Enterprise.xml,Server_Driver01,workgroup,DriverComputer,4,4096,4096,RDPServer_Internal,Internal,192.168.172.101,255.255.255.0,,
